order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,payment_method,product_name,category,cost,age,gender,city,customer_segment,signup_date,profit,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
O00001,C0307,P099,2024-06-03,3,16525,49575,Card,Product_99,Sports,48440,42,Female,Pune,Regular,2024-03-21,-95745,13,18,1826916,4,5,5,14,Champions
O00002,C0339,P067,2024-06-02,2,28103,56206,Cash,Product_67,Beauty,9375,59,Male,Hyderabad,Budget,2024-09-16,37456,12,8,807508,4,2,3,9,Potential Loyal
O00003,C0032,P072,2024-03-30,5,58652,293260,Net Banking,Product_72,Home,9215,28,Female,Delhi,Budget,2024-05-14,247185,37,9,868990,2,2,3,7,Potential Loyal
O00004,C0285,P064,2024-11-25,1,23571,23571,Net Banking,Product_64,Beauty,5023,56,Male,Delhi,Premium,2024-05-20,18548,36,9,727659,2,2,2,6,At Risk
O00005,C0403,P068,2024-08-01,3,46633,139899,Net Banking,Product_68,Beauty,25040,57,Female,Bangalore,Budget,2024-01-30,64779,4,14,2003374,5,5,5,15,Champions
O00006,C0077,P039,2024-10-02,4,13050,52200,Net Banking,Product_39,Home,46622,31,Female,Mumbai,Budget,2024-11-20,-134288,63,16,1098000,1,5,4,10,Loyal Customers
O00007,C0124,P029,2024-12-28,3,57199,171597,Card,Product_29,Beauty,9253,26,Male,Mumbai,Regular,2024-12-21,143838,3,11,1254720,5,3,5,13,Champions
O00008,C0413,P060,2024-07-30,1,37856,37856,Net Banking,Product_60,Electronics,38400,34,Female,Mumbai,Budget,2024-05-26,-544,50,11,1256923,2,3,5,10,Loyal Customers
O00009,C0286,P068,2024-05-04,2,26455,52910,Cash,Product_68,Beauty,25040,57,Female,Pune,Budget,2024-09-28,2830,38,12,658785,2,4,2,8,Potential Loyal
O00010,C0105,P043,2024-07-08,1,30477,30477,UPI,Product_43,Sports,13748,42,Male,Hyderabad,Budget,2024-06-03,16729,12,14,1428601,4,5,5,14,Champions
O00011,C0275,P093,2024-05-17,2,4377,8754,Net Banking,Product_93,Electronics,16538,52,Female,Mumbai,Premium,2024-12-04,-24322,19,8,633754,4,2,2,8,Potential Loyal
