order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,payment_method,product_name,category,cost,age,gender,city,customer_segment,signup_date,profit
O00001,C0307,P099,2024-06-03,3,16525,49575,Card,Product_99,Sports,48440,42,Female,Pune,Regular,2024-03-21,-95745
O00002,C0339,P067,2024-06-02,2,28103,56206,Cash,Product_67,Beauty,9375,59,Male,Hyderabad,Budget,2024-09-16,37456
O00003,C0032,P072,2024-03-30,5,58652,293260,Net Banking,Product_72,Home,9215,28,Female,Delhi,Budget,2024-05-14,247185
O00004,C0285,P064,2024-11-25,1,23571,23571,Net Banking,Product_64,Beauty,5023,56,Male,Delhi,Premium,2024-05-20,18548
O00005,C0403,P068,2024-08-01,3,46633,139899,Net Banking,Product_68,Beauty,25040,57,Female,Bangalore,Budget,2024-01-30,64779
O00006,C0077,P039,2024-10-02,4,13050,52200,Net Banking,Product_39,Home,46622,31,Female,Mumbai,Budget,2024-11-20,-134288
O00007,C0124,P029,2024-12-28,3,57199,171597,Card,Product_29,Beauty,9253,26,Male,Mumbai,Regular,2024-12-21,143838
O00008,C0413,P060,2024-07-30,1,37856,37856,Net Banking,Product_60,Electronics,38400,34,Female,Mumbai,Budget,2024-05-26,-544
O00009,C0286,P068,2024-05-04,2,26455,52910,Cash,Product_68,Beauty,25040,57,Female,Pune,Budget,2024-09-28,2830
O00010,C0105,P043,2024-07-08,1,30477,30477,UPI,Product_43,Sports,13748,42,Male,Hyderabad,Budget,2024-06-03,16729
O00011,C0275,P093,2024-05-17,2,4377,8754,Net Banking,Product_93,Electronics,16538,52,Female,Mumbai,Premium,2024-12-04,-24322
O00012,C0345,P078,2024-02-07,5,3591,17955,Card,Product_78,Beauty,20053,51,Male,Bangalore,Regular,2024-05-24,-82310
O00013,C0412,P098,2024-12-09,5,48468,242340,Card,Product_98,Fashion,19457,49,Female,Hyderabad,Premium,2024-05-14,145055
O00014,C0246,P027,2024-01-08,3,20869,62607,Card,Product_27,Sports,24587,40,Male,Chennai,Premium,2024-11-13,-11154
O00015,C0480,P025,2024-09-02,1,49947,49947,Card,Product_25,Electronics,45738,63,Female,Bangalore,Regular,2024-06-27,4209
O00016,C0357,P078,2024-05-02,2,26993,53986,Cash,Product_78,Beauty,20053,32,Male,Mumbai,Premium,2024-05-31,13880
O00017,C0398,P037,2024-09-30,4,31556,126224,Cash,Product_37,Sports,5865,23,Female,Delhi,Regular,2024-11-04,102764
O00018,C0158,P034,2024-09-11,3,34607,103821,Net Banking,Product_34,Sports,31356,29,Female,Mumbai,Regular,2024-05-12,9753
O00019,C0051,P093,2024-06-12,4,50914,203656,Card,Product_93,Electronics,16538,61,Male,Delhi,Regular,2024-06-22,137504
O00020,C0190,P041,2024-10-15,4,3996,15984,Card,Product_41,Electronics,7853,32,Male,Bangalore,Premium,2024-02-06,-15428
O00021,C0380,P019,2024-10-10,1,18090,18090,Net Banking,Product_19,Fashion,45901,56,Male,Chennai,Budget,2024-10-21,-27811
O00022,C0152,P020,2024-04-27,2,22618,45236,Net Banking,Product_20,Electronics,4571,63,Male,Pune,Premium,2024-09-24,36094
O00023,C0292,P032,2024-12-01,4,37086,148344,Cash,Product_32,Beauty,24985,60,Female,Bangalore,Premium,2024-12-17,48404
O00024,C0132,P098,2024-11-24,4,48419,193676,Net Banking,Product_98,Fashion,19457,60,Female,Chennai,Premium,2024-08-27,115848
O00025,C0236,P022,2024-03-12,3,12092,36276,Net Banking,Product_22,Beauty,10967,49,Male,Mumbai,Regular,2024-11-22,3375
O00026,C0095,P070,2024-01-18,1,35337,35337,UPI,Product_70,Electronics,25118,19,Male,Bangalore,Premium,2024-10-24,10219
O00027,C0484,P086,2024-01-04,1,51091,51091,Net Banking,Product_86,Beauty,2611,40,Female,Chennai,Regular,2024-09-02,48480
O00028,C0071,P081,2024-12-28,2,5454,10908,Card,Product_81,Fashion,25356,22,Male,Hyderabad,Regular,2024-03-08,-39804
O00029,C0005,P028,2024-07-10,5,30885,154425,UPI,Product_28,Fashion,14973,56,Male,Hyderabad,Premium,2024-11-28,79560
O00030,C0317,P082,2024-12-03,5,32667,163335,Net Banking,Product_82,Beauty,16720,34,Female,Bangalore,Premium,2024-01-04,79735
O00031,C0009,P001,2024-07-29,5,37152,185760,UPI,Product_1,Home,1423,24,Male,Pune,Premium,2024-07-02,178645
O00032,C0009,P068,2024-05-26,3,36110,108330,UPI,Product_68,Beauty,25040,24,Male,Pune,Premium,2024-07-02,33210
O00033,C0258,P090,2024-04-01,4,53833,215332,UPI,Product_90,Electronics,39424,41,Male,Chennai,Premium,2024-08-29,57636
O00034,C0471,P013,2024-05-03,5,10758,53790,Card,Product_13,Beauty,15935,38,Female,Mumbai,Regular,2024-12-19,-25885
O00035,C0318,P068,2024-06-30,3,54425,163275,Cash,Product_68,Beauty,25040,49,Female,Mumbai,Premium,2024-07-13,88155
O00036,C0408,P051,2024-07-26,1,25448,25448,Net Banking,Product_51,Beauty,4146,20,Male,Chennai,Regular,2024-07-08,21302
O00037,C0290,P032,2024-12-16,2,20659,41318,UPI,Product_32,Beauty,24985,44,Female,Pune,Regular,2024-07-31,-8652
O00038,C0335,P084,2024-07-26,1,7127,7127,Net Banking,Product_84,Fashion,18564,46,Male,Pune,Regular,2024-11-19,-11437
O00039,C0194,P071,2024-11-22,4,4677,18708,UPI,Product_71,Sports,45243,49,Female,Delhi,Budget,2024-01-21,-162264
O00040,C0360,P022,2024-08-10,1,33758,33758,Cash,Product_22,Beauty,10967,62,Male,Chennai,Regular,2024-01-23,22791
O00041,C0290,P013,2024-04-27,5,3788,18940,Card,Product_13,Beauty,15935,44,Female,Pune,Regular,2024-07-31,-60735
O00042,C0462,P089,2024-05-18,5,32162,160810,UPI,Product_89,Electronics,4909,43,Female,Hyderabad,Regular,2024-09-16,136265
