order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,profit,payment_method
O00001,C0307,P099,2024-06-03,3,16525,49575,-95745,Card
O00002,C0339,P067,2024-06-02,2,28103,56206,37456,Cash
O00003,C0032,P072,2024-03-30,5,58652,293260,247185,Net Banking
O00004,C0285,P064,2024-11-25,1,23571,23571,18548,Net Banking
O00005,C0403,P068,2024-08-01,3,46633,139899,64779,Net Banking
O00006,C0077,P039,2024-10-02,4,13050,52200,-134288,Net Banking
O00007,C0124,P029,2024-12-28,3,57199,171597,143838,Card
O00008,C0413,P060,2024-07-30,1,37856,37856,-544,Net Banking
O00009,C0286,P068,2024-05-04,2,26455,52910,2830,Cash
O00010,C0105,P043,2024-07-08,1,30477,30477,16729,UPI
O00011,C0275,P093,2024-05-17,2,4377,8754,-24322,Net Banking
O00012,C0345,P078,2024-02-07,5,3591,17955,-82310,Card
O00013,C0412,P098,2024-12-09,5,48468,242340,145055,Card
O00014,C0246,P027,2024-01-08,3,20869,62607,-11154,Card
O00015,C0480,P025,2024-09-02,1,49947,49947,4209,Card
O00016,C0357,P078,2024-05-02,2,26993,53986,13880,Cash
O00017,C0398,P037,2024-09-30,4,31556,126224,102764,Cash
O00018,C0158,P034,2024-09-11,3,34607,103821,9753,Net Banking
O00019,C0051,P093,2024-06-12,4,50914,203656,137504,Card
O00020,C0190,P041,2024-10-15,4,3996,15984,-15428,Card
O00021,C0380,P019,2024-10-10,1,18090,18090,-27811,Net Banking
O00022,C0152,P020,2024-04-27,2,22618,45236,36094,Net Banking
O00023,C0292,P032,2024-12-01,4,37086,148344,48404,Cash
O00024,C0132,P098,2024-11-24,4,48419,193676,115848,Net Banking
O00025,C0236,P022,2024-03-12,3,12092,36276,3375,Net Banking
O00026,C0095,P070,2024-01-18,1,35337,35337,10219,UPI
O00027,C0484,P086,2024-01-04,1,51091,51091,48480,Net Banking
O00028,C0071,P081,2024-12-28,2,5454,10908,-39804,Card
O00029,C0005,P028,2024-07-10,5,30885,154425,79560,UPI
O00030,C0317,P082,2024-12-03,5,32667,163335,79735,Net Banking
O00031,C0009,P001,2024-07-29,5,37152,185760,178645,UPI
O00032,C0009,P068,2024-05-26,3,36110,108330,33210,UPI
O00033,C0258,P090,2024-04-01,4,53833,215332,57636,UPI
O00034,C0471,P013,2024-05-03,5,10758,53790,-25885,Card
O00035,C0318,P068,2024-06-30,3,54425,163275,88155,Cash
O00036,C0408,P051,2024-07-26,1,25448,25448,21302,Net Banking
O00037,C0290,P032,2024-12-16,2,20659,41318,-8652,UPI
O00038,C0335,P084,2024-07-26,1,7127,7127,-11437,Net Banking
O00039,C0194,P071,2024-11-22,4,4677,18708,-162264,UPI
O00040,C0360,P022,2024-08-10,1,33758,33758,22791,Cash
O00041,C0290,P013,2024-04-27,5,3788,18940,-60735,Card
O00042,C0462,P089,2024-05-18,5,32162,160810,136265,UPI
O00043,C0474,P010,2024-10-05,3,59937,179811,84441,UPI
O00044,C0092,P041,2024-10-27,1,14576,14576,6723,Card
O00045,C0386,P092,2024-06-02,4,6042,24168,-153996,Card
O00046,C0289,P031,2024-07-18,5,55699,278495,30980,Cash
O00047,C0197,P097,2024-12-18,2,52806,105612,86246,UPI
