order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,payment_method
O00001,C0307,P099,2024-06-03,3,16525,49575,Card
O00002,C0339,P067,2024-06-02,2,28103,56206,Cash
O00003,C0032,P072,2024-03-30,5,58652,293260,Net Banking
O00004,C0285,P064,2024-11-25,1,23571,23571,Net Banking
O00005,C0403,P068,2024-08-01,3,46633,139899,Net Banking
O00006,C0077,P039,2024-10-02,4,13050,52200,Net Banking
O00007,C0124,P029,2024-12-28,3,57199,171597,Card
O00008,C0413,P060,2024-07-30,1,37856,37856,Net Banking
O00009,C0286,P068,2024-05-04,2,26455,52910,Cash
O00010,C0105,P043,2024-07-08,1,30477,30477,UPI
O00011,C0275,P093,2024-05-17,2,4377,8754,Net Banking
O00012,C0345,P078,2024-02-07,5,3591,17955,Card
O00013,C0412,P098,2024-12-09,5,48468,242340,Card
O00014,C0246,P027,2024-01-08,3,20869,62607,Card
O00015,C0480,P025,2024-09-02,1,49947,49947,Card
O00016,C0357,P078,2024-05-02,2,26993,53986,Cash
O00017,C0398,P037,2024-09-30,4,31556,126224,Cash
O00018,C0158,P034,2024-09-11,3,34607,103821,Net Banking
O00019,C0051,P093,2024-06-12,4,50914,203656,Card
O00020,C0190,P041,2024-10-15,4,3996,15984,Card
O00021,C0380,P019,2024-10-10,1,18090,18090,Net Banking
O00022,C0152,P020,2024-04-27,2,22618,45236,Net Banking
O00023,C0292,P032,2024-12-01,4,37086,148344,Cash
O00024,C0132,P098,2024-11-24,4,48419,193676,Net Banking
O00025,C0236,P022,2024-03-12,3,12092,36276,Net Banking
O00026,C0095,P070,2024-01-18,1,35337,35337,UPI
O00027,C0484,P086,2024-01-04,1,51091,51091,Net Banking
O00028,C0071,P081,2024-12-28,2,5454,10908,Card
O00029,C0005,P028,2024-07-10,5,30885,154425,UPI
O00030,C0317,P082,2024-12-03,5,32667,163335,Net Banking
O00031,C0009,P001,2024-07-29,5,37152,185760,UPI
O00032,C0009,P068,2024-05-26,3,36110,108330,UPI
O00033,C0258,P090,2024-04-01,4,53833,215332,UPI
O00034,C0471,P013,2024-05-03,5,10758,53790,Card
O00035,C0318,P068,2024-06-30,3,54425,163275,Cash
O00036,C0408,P051,2024-07-26,1,25448,25448,Net Banking
O00037,C0290,P032,2024-12-16,2,20659,41318,UPI
O00038,C0335,P084,2024-07-26,1,7127,7127,Net Banking
O00039,C0194,P071,2024-11-22,4,4677,18708,UPI
O00040,C0360,P022,2024-08-10,1,33758,33758,Cash
O00041,C0290,P013,2024-04-27,5,3788,18940,Card
O00042,C0462,P089,2024-05-18,5,32162,160810,UPI
O00043,C0474,P010,2024-10-05,3,59937,179811,UPI
O00044,C0092,P041,2024-10-27,1,14576,14576,Card
O00045,C0386,P092,2024-06-02,4,6042,24168,Card
O00046,C0289,P031,2024-07-18,5,55699,278495,Cash
O00047,C0197,P097,2024-12-18,2,52806,105612,UPI
O00048,C0257,P096,2024-02-20,3,4519,13557,Net Banking
O00049,C0119,P010,2024-11-10,3,40660,121980,Net Banking
O00050,C0497,P100,2024-11-20,3,2941,8823,Cash
O00051,C0402,P058,2024-07-01,4,15951,63804,Net Banking
O00052,C0222,P024,2024-07-13,5,44297,221485,UPI
O00053,C0396,P080,2024-05-06,3,53301,159903,UPI
O00054,C0043,P035,2024-12-30,2,25903,51806,Card
O00055,C0379,P050,2024-02-24,3,24638,73914,UPI
O00056,C0003,P040,2024-05-18,4,24587,98348,UPI
O00057,C0068,P012,2024-08-17,2,29244,58488,Net Banking
O00058,C0053,P004,2024-10-10,1,24194,24194,UPI
O00059,C0306,P077,2024-07-16,3,57604,172812,UPI
O00060,C0150,P053,2024-02-13,4,52063,208252,Card
O00061,C0293,P067,2024-07-13,2,45912,91824,Card
O00062,C0072,P035,2024-09-09,3,18590,55770,Card
O00063,C0033,P022,2024-08-03,4,19085,76340,Cash
O00064,C0248,P010,2024-05-06,3,17495,52485,Net Banking
O00065,C0305,P079,2024-02-24,2,31006,62012,Card
O00066,C0156,P001,2024-11-13,4,22772,91088,Net Banking
O00067,C0412,P043,2024-08-08,4,22937,91748,Card
O00068,C0154,P042,2024-04-12,5,46566,232830,Net Banking
O00069,C0161,P023,2024-05-29,4,21915,87660,Net Banking
O00070,C0496,P074,2024-07-11,2,22357,44714,Cash
O00071,C0419,P051,2024-10-15,3,8463,25389,Card
O00072,C0304,P070,2024-10-08,2,45676,91352,UPI
O00073,C0488,P094,2024-04-17,4,47423,189692,Net Banking
O00074,C0409,P038,2024-07-28,1,54671,54671,Net Banking
O00075,C0072,P082,2024-05-09,3,16861,50583,Card
O00076,C0367,P055,2024-08-17,4,5847,23388,Net Banking
O00077,C0299,P052,2024-12-20,5,34201,171005,Net Banking
O00078,C0279,P005,2024-10-01,3,46982,140946,UPI
O00079,C0056,P099,2024-12-06,2,44096,88192,Cash
O00080,C0086,P083,2024-10-15,5,3903,19515,Net Banking
O00081,C0496,P097,2024-08-08,3,53181,159543,UPI
O00082,C0006,P013,2024-09-18,3,15549,46647,Card
O00083,C0229,P048,2024-12-13,4,31347,125388,Card
O00084,C0177,P004,2024-05-31,4,7851,31404,Net Banking
O00085,C0472,P011,2024-03-13,1,55481,55481,Cash
O00086,C0160,P044,2024-04-15,4,52397,209588,Net Banking
O00087,C0179,P061,2024-12-22,1,29715,29715,Net Banking
O00088,C0164,P009,2024-12-29,3,3928,11784,UPI
O00089,C0012,P044,2024-03-25,1,45377,45377,Card
O00090,C0265,P023,2024-06-18,5,11494,57470,Net Banking
O00091,C0491,P060,2024-07-26,2,53281,106562,Card
O00092,C0096,P082,2024-01-15,4,26924,107696,Card
O00093,C0231,P076,2024-01-03,4,26482,105928,Card
O00094,C0106,P036,2024-02-22,1,38837,38837,Card
O00095,C0188,P042,2024-02-28,2,30986,61972,Cash
O00096,C0344,P063,2024-06-09,5,42884,214420,Net Banking
O00097,C0313,P051,2024-06-27,5,8486,42430,Cash
O00098,C0433,P059,2024-12-10,5,12306,61530,Cash
O00099,C0471,P079,2024-12-10,5,6554,32770,Card
O00100,C0161,P016,2024-02-29,2,21013,42026,Card
O00101,C0192,P089,2024-07-17,2,34477,68954,Net Banking
O00102,C0306,P018,2024-08-04,5,26146,130730,Card
O00103,C0250,P082,2024-11-26,5,46444,232220,Card
O00104,C0285,P022,2024-03-12,4,19929,79716,Card
O00105,C0162,P058,2024-07-02,5,4513,22565,UPI
O00106,C0249,P018,2024-07-15,2,54425,108850,Net Banking
O00107,C0210,P088,2024-12-29,4,28238,112952,Net Banking
O00108,C0251,P022,2024-01-16,1,38053,38053,Card
O00109,C0150,P005,2024-10-02,3,15735,47205,Cash
O00110,C0087,P100,2024-09-10,4,38070,152280,UPI
O00111,C0294,P015,2024-10-05,3,51797,155391,Cash
O00112,C0278,P097,2024-08-13,1,50807,50807,Card
O00113,C0218,P014,2024-01-17,2,20510,41020,Net Banking
O00114,C0135,P045,2024-03-01,1,29774,29774,Card
O00115,C0108,P095,2024-06-28,5,46163,230815,Net Banking
O00116,C0085,P079,2024-04-15,2,52435,104870,Card
O00117,C0413,P008,2024-09-29,5,23991,119955,Cash
O00118,C0306,P069,2024-12-26,2,22210,44420,Cash
O00119,C0149,P074,2024-09-20,3,57230,171690,UPI
O00120,C0070,P097,2024-05-21,4,4885,19540,Card
O00121,C0360,P017,2024-12-30,2,10584,21168,Cash
O00122,C0425,P032,2024-03-13,4,33077,132308,Cash
O00123,C0322,P054,2024-02-08,4,30621,122484,UPI
O00124,C0207,P066,2024-07-07,3,46528,139584,Net Banking
O00125,C0487,P063,2024-01-02,3,39139,117417,UPI
O00126,C0375,P059,2024-02-02,3,56712,170136,Net Banking
O00127,C0112,P055,2024-05-17,2,33421,66842,Cash
O00128,C0425,P037,2024-10-22,3,36868,110604,Card
O00129,C0290,P063,2024-12-15,3,59599,178797,UPI
O00130,C0024,P013,2024-03-04,4,2067,8268,Card
O00131,C0226,P059,2024-04-13,1,29036,29036,Card
O00132,C0452,P084,2024-05-20,3,11418,34254,UPI
O00133,C0336,P047,2024-07-09,3,6401,19203,Card
O00134,C0027,P051,2024-12-24,3,48578,145734,Card
O00135,C0220,P084,2024-02-18,1,47117,47117,UPI
O00136,C0110,P062,2024-10-30,1,9696,9696,Card
O00137,C0266,P088,2024-01-05,4,1608,6432,Cash
O00138,C0419,P016,2024-03-08,4,46484,185936,Net Banking
O00139,C0037,P030,2024-02-22,4,6854,27416,UPI
O00140,C0161,P048,2024-07-14,3,9986,29958,Card
O00141,C0329,P087,2024-09-28,2,5483,10966,UPI
O00142,C0313,P084,2024-06-28,2,29842,59684,Card
O00143,C0322,P096,2024-11-11,2,27981,55962,Net Banking
O00144,C0441,P028,2024-02-21,1,59759,59759,Card
O00145,C0386,P016,2024-07-15,5,48841,244205,Cash
O00146,C0494,P055,2024-03-12,3,52844,158532,Card
O00147,C0142,P083,2024-10-10,1,17263,17263,Cash
O00148,C0399,P089,2024-12-03,1,56567,56567,Cash
O00149,C0106,P067,2024-04-06,5,34392,171960,Net Banking
O00150,C0152,P083,2024-05-02,1,52367,52367,Net Banking
O00151,C0198,P015,2024-11-22,2,33740,67480,UPI
O00152,C0271,P002,2024-03-08,3,21740,65220,Net Banking
O00153,C0441,P073,2024-10-06,4,24947,99788,Card
O00154,C0391,P061,2024-10-27,1,2093,2093,UPI
O00155,C0008,P034,2024-01-31,2,3610,7220,Net Banking
O00156,C0260,P037,2024-07-31,5,51273,256365,Net Banking
O00157,C0360,P052,2024-10-01,1,42978,42978,Card
O00158,C0143,P011,2024-09-18,3,6178,18534,Card
O00159,C0499,P020,2024-07-19,5,22413,112065,UPI
O00160,C0159,P090,2024-05-02,4,48838,195352,UPI
O00161,C0126,P012,2024-08-20,4,8601,34404,UPI
O00162,C0159,P086,2024-01-07,2,8827,17654,Card
O00163,C0360,P002,2024-06-26,2,33532,67064,Cash
O00164,C0086,P048,2024-05-17,2,50137,100274,UPI
O00165,C0395,P004,2024-08-07,3,53894,161682,Cash
O00166,C0269,P009,2024-10-22,3,47682,143046,UPI
O00167,C0255,P059,2024-01-29,5,24601,123005,Net Banking
O00168,C0440,P073,2024-03-21,2,25096,50192,Cash
O00169,C0396,P014,2024-02-29,5,45179,225895,Card
O00170,C0380,P066,2024-01-07,1,3886,3886,Card
O00171,C0024,P061,2024-03-17,3,26098,78294,Card
O00172,C0477,P005,2024-12-31,5,53632,268160,Net Banking
O00173,C0115,P042,2024-06-12,2,28279,56558,Cash
O00174,C0423,P010,2024-03-02,5,25432,127160,UPI
O00175,C0092,P029,2024-07-24,5,4009,20045,UPI
O00176,C0450,P060,2024-06-08,3,51693,155079,Cash
O00177,C0045,P071,2024-07-07,4,1522,6088,Card
O00178,C0150,P073,2024-11-14,3,49468,148404,Card
O00179,C0238,P048,2024-04-10,5,33332,166660,Card
O00180,C0078,P001,2024-04-29,4,2566,10264,Cash
O00181,C0326,P089,2024-01-01,1,22955,22955,Net Banking
O00182,C0435,P095,2024-04-15,3,7812,23436,Card
O00183,C0215,P063,2024-12-30,1,10330,10330,Cash
O00184,C0048,P006,2024-09-23,2,59804,119608,Net Banking
O00185,C0359,P048,2024-02-13,4,50014,200056,UPI
O00186,C0259,P018,2024-10-30,4,5904,23616,UPI
O00187,C0223,P085,2024-05-29,2,16517,33034,Cash
O00188,C0436,P041,2024-06-16,4,46922,187688,Cash
O00189,C0232,P035,2024-04-13,2,5894,11788,Card
O00190,C0400,P099,2024-03-20,5,8141,40705,UPI
O00191,C0085,P058,2024-07-27,4,21580,86320,UPI
O00192,C0275,P046,2024-06-06,2,30616,61232,Net Banking
O00193,C0136,P016,2024-12-17,1,11329,11329,Cash
O00194,C0424,P091,2024-04-20,5,3643,18215,Cash
O00195,C0076,P012,2024-07-21,2,24313,48626,UPI
O00196,C0347,P039,2024-03-30,3,54745,164235,UPI
O00197,C0488,P052,2024-10-08,4,37434,149736,Card
O00198,C0049,P060,2024-03-12,1,53684,53684,UPI
O00199,C0007,P008,2024-04-11,2,9566,19132,Net Banking
O00200,C0191,P088,2024-10-27,1,39163,39163,Cash
O00201,C0470,P010,2024-04-11,1,5225,5225,Net Banking
O00202,C0415,P017,2024-06-18,1,56527,56527,UPI
O00203,C0022,P060,2024-10-20,1,12009,12009,Net Banking
O00204,C0421,P093,2024-01-16,4,33514,134056,Net Banking
O00205,C0350,P055,2024-04-19,2,24196,48392,Card
O00206,C0141,P036,2024-03-17,4,58896,235584,UPI
O00207,C0315,P080,2024-11-27,5,17107,85535,Cash
O00208,C0256,P053,2024-02-01,5,32393,161965,UPI
O00209,C0144,P050,2024-04-12,2,28474,56948,Card
O00210,C0323,P070,2024-12-31,1,26067,26067,Cash
O00211,C0246,P070,2024-10-16,4,23546,94184,Cash
O00212,C0199,P035,2024-06-12,2,2708,5416,Card
O00213,C0016,P100,2024-08-29,3,4839,14517,Cash
O00214,C0393,P075,2024-02-21,2,11461,22922,Card
O00215,C0337,P031,2024-01-29,3,35975,107925,Card
O00216,C0295,P050,2024-03-29,3,55999,167997,Card
O00217,C0122,P076,2024-12-23,3,53835,161505,Cash
O00218,C0468,P076,2024-12-24,1,47101,47101,Cash
O00219,C0486,P073,2024-10-15,5,10312,51560,Card
O00220,C0429,P064,2024-03-30,5,21254,106270,Net Banking
O00221,C0020,P012,2024-11-04,1,16245,16245,Card
O00222,C0011,P068,2024-06-18,4,1044,4176,Card
O00223,C0413,P017,2024-03-31,3,47985,143955,Cash
O00224,C0031,P003,2024-12-26,2,39444,78888,Card
O00225,C0397,P015,2024-07-05,5,57404,287020,UPI
O00226,C0192,P091,2024-02-21,4,39405,157620,Cash
O00227,C0155,P042,2024-08-11,2,11322,22644,Net Banking
O00228,C0333,P041,2024-10-14,2,47345,94690,Cash
O00229,C0115,P086,2024-03-30,5,54376,271880,Net Banking
O00230,C0158,P094,2024-03-31,3,9345,28035,UPI
O00231,C0486,P090,2024-10-17,5,26663,133315,UPI
